Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,2827.186,33926.23,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (150 GB per month), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0,USD,"Number of EIP remaps (0), Number of EC2 instances (1), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),Amazon EC2,0,323.218,3878.62,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB),  Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
 Intra-Region 0 TB per month 
, Workload (Consistent, Number of instances: 6)"
My Estimate,US East (N. Virginia),Amazon EC2,0,353.44,4241.28,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB),  Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
 Intra-Region 0 TB per month 
, Workload (Consistent, Number of instances: 6)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,1444.25,17331,USD,"Hosted Zones (1), Basic Checks Within AWS (200), Number of Elastic Network Interfaces (15)"
My Estimate,US East (N. Virginia),S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,361.35,4336.2,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1245.23,14942.76,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1987.43,23849.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (300 GB per hour), Processed bytes per NLB for TLS (150 GB per hour)"
My Estimate,US East (N. Virginia),Amazon CloudWatch,0,221.35,2656.2,USD,
,,,Total/month,8998.974,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
